Model Year;Mfr Name;Division;Carline;Eng Displ;# Cyl;City FE (Guide) - Conventional Fuel;Hwy FE (Guide) - Conventional Fuel;Comb FE (Guide) - Conventional Fuel;City Unadj FE - Conventional Fuel;Hwy Unadj FE - Conventional Fuel;Comb Unadj FE - Conventional Fuel;City Unrd Adj FE - Conventional Fuel;Hwy Unrd Adj FE - Conventional Fuel;Comb Unrd Adj FE - Conventional Fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera 4S Cabriolet;3,0;6;17;24;20;22,2;34;26,3088;17;24,2339;20,1774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera Cabriolet;3,0;6;18;24;20;24;34,3;27,7499;18;24,431;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera S;3,0;6;18;24;20;23,3;34,2;27,2012;18;24,3654;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera S;3,0;6;17;25;20;22,1;35,7;26,6724;17;25,3476;20,4606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera S Cabriolet;3,0;6;18;23;20;23,2;33,5;26,9253;18,4859;23;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Porsche;Porsche;911 Carrera S Cabriolet;3,0;6;17;25;20;22,5;35,7;26,9909;17;25,3476;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Subaru;Subaru;BRZ;2,0;4;24;33;27;31,3;47,3;36,92;24,2984;32,7237;27,4825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Subaru;Subaru;BRZ;2,0;4;21;29;24;26,5601;40,6069;31,4568;20,9339;28,5145;23,7786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Subaru;Subaru;BRZ tS;2,0;4;20;27;23;25,7;38,8;30,3042;20,3124;27,3565;22,9745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Toyota;TOYOTA;86;2,0;4;24;32;27;30,6;46,6;36,1919;23,808;32,2893;26,9993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Toyota;TOYOTA;86;2,0;4;21;28;24;26,5355;40,376;31,3753;20,9162;28,3671;23,7198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;A3;2,0;4;27;36;30;32,9;50,3;38,9656;26,6201;36,0744;30,1793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;A3 Cabriolet quattro;2,0;4;22;30;25;27,4725;42,5;32,6709;21,8953;29,5104;24,7718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;A3 quattro;2,0;4;22;30;25;27,4725;42,5;32,6709;21,8953;29,5104;24,7718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;A5 Cabriolet quattro;2,0;4;23;31;26;29,7957;43,535;34,7276;23,4846;30,7004;26,2623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;A5 quattro;2,0;4;24;32;27;29,851;45,7135;35,3747;23,5581;32,2503;26,8097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Volkswagen Group of;Audi;RS3;2,5;5;19;28;23;23,8;37,9;28,5856;19,4093;27,9675;22,5088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
